姓名	密码	学号	班级	学院	社团
滑子墨	5WQU8Vu0	2023480853	24级2班	计算机学院	羽毛球社,篮球社
滑清雅	dCeOKxlL	2024457646	22级2班	新闻学院	篮球社
濮芳	QZFEzPbR	2024991905	25级3班	法学院	校礼仪
燕然	dw1eiGb7	2025039011	25级1班	音乐学院	羽毛球社
璩然	MP8CBzaD	2023902953	23级1班	外语学院	国旗护卫队
田修远	v5rStH8R	2024851151	25级2班	舞蹈学院	国旗护卫队
皮阳	558kufna	2023438398	24级3班	文学院	校礼仪
禹梓	TAZSrO8B	2023058978	24级2班	音乐学院	国旗护卫队
禹涛	zW1BvR3Y	2024082749	24级3班	教育学院	篮球社
秦晨	oH8oSxyl	2023988319	22级2班	医学院	羽毛球社
程达	0uTKiqak	2025643000	22级1班	舞蹈学院	校礼仪
管敏	XzJGQu84	2025785229	22级2班	理学院	篮球社
籍语嫣	NUlr0XfN	2023889125	24级2班	理学院	校礼仪
米诗雨	6LDRl2uB	2023755729	25级3班	医学院	国旗护卫队
糜霞	2b2Z4sSI	2025622710	23级1班	舞蹈学院	篮球社
纪一	kGYcX8ft	2025447229	24级3班	医学院	校礼仪
能宇	wT4vsNr1	2023241396	25级2班	理学院	羽毛球社
舒桂兰	zTHCzokY	2023816926	24级1班	工学院	校礼仪
蒲建华	40Gt0k5j	2025262156	24级3班	教育学院	篮球社
谭建国	Z42STYy5	2023080028	24级3班	舞蹈学院	羽毛球社
贾建国	5luLDmQD	2023123072	25级2班	农学院	羽毛球社,国旗护卫队
边阳	FfLOjLsp	2024064939	25级2班	文学院	篮球社
逄轩	6KWU3cHk	2023497066	22级1班	农学院	羽毛球社
邹桂英	mqwXHCMI	2023807651	23级1班	体育学院	篮球社
郁诺	qz7I4QJA	2025332459	25级2班	教育学院	国旗护卫队
郗语嫣	pLVx4U17	2025306709	22级1班	医学院	羽毛球社,国旗护卫队
金语嫣	S8KG9Q4t	2023010508	24级1班	体育学院	国旗护卫队
钟达	h6LQ4rfv	2025449478	22级2班	舞蹈学院	篮球社
钮明月	G0eohRrc	2023319313	22级2班	理学院	篮球社
闵华	L9YpjYIt	2023804247	25级1班	舞蹈学院	国旗护卫队
闵林	QuMkWTQN	2023049442	23级2班	工学院	国旗护卫队,校礼仪
陆飞	WMIhczMK	2023901621	23级2班	新闻学院	校礼仪
陈诗雨	c2Sh6O0F	2024138150	23级2班	新闻学院	羽毛球社
雷锦程	xjTjbzs8	2025905612	25级1班	理学院	校礼仪
霍文博	lYP61NGl	2024542064	24级1班	医学院	羽毛球社
项承泽	IcobCD31	2025350443	25级2班	音乐学院	篮球社,校礼仪
魏磊	IG64xTGg	2024125565	25级1班	农学院	校礼仪
魏雨	WrHLE9G1	2025119107	25级3班	文学院	篮球社,校礼仪
齐涛	GMO8iMgc	2023964688	24级1班	体育学院	篮球社
龙雨	6w5iZvJa	2023687155	22级2班	舞蹈学院	篮球社
